objname,ra,dec,cutout_size,E_B_V_SandF,mean_E_B_V_SandF,stdev_E_B_V_SandF,max_E_B_V_SandF,min_E_B_V_SandF,AV_SandF,E_B_V_SFD,mean_E_B_V_SFD,stdev_E_B_V_SFD,max_E_B_V_SFD,min_E_B_V_SFD,AV_SFD,errmsg
,300.62857,-0.16428,5.0,0.1669,0.1659,0.0073,0.1806,0.1545,0.5172,0.194,0.1929,0.0085,0.21,0.1797,0.6015,
,302.1626,0.99396,5.0,0.0967,0.0987,0.0024,0.1052,0.0954,0.2998,0.1125,0.1148,0.0028,0.1224,0.1109,0.3486,
,301.11282,0.00939,5.0,0.1669,0.1693,0.005,0.1802,0.1597,0.5174,0.1941,0.1968,0.0059,0.2096,0.1858,0.6016,
,302.29337,0.94174,5.0,0.0996,0.1008,0.0022,0.1067,0.0987,0.3088,0.1158,0.1172,0.0026,0.1241,0.1147,0.3591,
,301.40048,-0.19299,5.0,0.1533,0.1524,0.0032,0.16,0.1476,0.4752,0.1782,0.1772,0.0037,0.1861,0.1717,0.5526,
,302.24623,1.2016,5.0,0.1106,0.1102,0.0026,0.1143,0.105,0.343,0.1286,0.1281,0.003,0.1329,0.1221,0.3988,
,301.46785,-0.8795,5.0,0.1226,0.1237,0.006,0.136,0.1128,0.3801,0.1426,0.1438,0.007,0.1581,0.1311,0.442,
,300.10816,0.42155,5.0,0.1745,0.1734,0.0021,0.1765,0.1681,0.5409,0.2029,0.2016,0.0025,0.2052,0.1955,0.629,
,302.25843,-1.04715,5.0,0.1162,0.1143,0.0036,0.1221,0.1098,0.3602,0.1351,0.1329,0.0041,0.142,0.1277,0.4188,
,301.11599,-0.96571,5.0,0.1444,0.1448,0.0039,0.1517,0.138,0.4477,0.1679,0.1684,0.0045,0.1764,0.1604,0.5206,
,301.65247,0.83645,5.0,0.1097,0.1105,0.0014,0.1135,0.1081,0.34,0.1275,0.1285,0.0017,0.132,0.1257,0.3953,
,301.16204,0.73119,5.0,0.1486,0.1504,0.0115,0.1683,0.1333,0.4607,0.1728,0.1749,0.0133,0.1958,0.155,0.5357,
,301.30977,0.87574,5.0,0.1199,0.1237,0.0078,0.1387,0.1118,0.3718,0.1395,0.1438,0.009,0.1613,0.13,0.4324,
,301.94971,-0.01228,5.0,0.1212,0.1211,0.0046,0.1281,0.1125,0.3756,0.1409,0.1408,0.0053,0.149,0.1308,0.4367,
,300.23858,1.02468,5.0,0.1605,0.1601,0.0041,0.1693,0.1543,0.4974,0.1866,0.1861,0.0047,0.1969,0.1794,0.5784,
,300.99648,0.27908,5.0,0.1751,0.175,0.008,0.1856,0.1561,0.5428,0.2036,0.2035,0.0094,0.2158,0.1815,0.6312,
,301.37662,0.94536,5.0,0.1134,0.1133,0.0044,0.1216,0.1068,0.3515,0.1318,0.1317,0.0052,0.1414,0.1242,0.4087,
,300.34388,-0.56437,5.0,0.1311,0.133,0.0032,0.1401,0.1289,0.4065,0.1525,0.1546,0.0038,0.1629,0.1499,0.4727,
,301.81189,0.43035,5.0,0.1017,0.1039,0.0047,0.1151,0.0977,0.3154,0.1183,0.1208,0.0055,0.1339,0.1136,0.3667,
,300.25777,-1.04235,5.0,0.1578,0.1609,0.0099,0.1852,0.149,0.4891,0.1834,0.1871,0.0116,0.2153,0.1732,0.5687,
,301.56448,1.00549,5.0,0.1195,0.1193,0.0079,0.1354,0.1091,0.3705,0.139,0.1387,0.0092,0.1575,0.1268,0.4308,
,301.16702,0.55864,5.0,0.1593,0.1556,0.005,0.165,0.1443,0.494,0.1853,0.181,0.0058,0.1918,0.1677,0.5744,
,301.96804,-0.84973,5.0,0.1399,0.1404,0.0025,0.1443,0.1348,0.4338,0.1627,0.1632,0.0029,0.1678,0.1567,0.5044,
,300.84148,-0.62587,5.0,0.1521,0.1545,0.0051,0.1629,0.1455,0.4716,0.1769,0.1797,0.0059,0.1894,0.1692,0.5483,
,301.50982,1.0357,5.0,0.1183,0.1184,0.0069,0.1339,0.1108,0.3666,0.1375,0.1377,0.008,0.1557,0.1288,0.4263,
,300.18727,0.78983,5.0,0.1608,0.1611,0.0034,0.168,0.1551,0.4985,0.187,0.1873,0.004,0.1954,0.1804,0.5797,
,300.98591,-0.66458,5.0,0.1619,0.1595,0.0057,0.1657,0.1471,0.502,0.1883,0.1854,0.0066,0.1927,0.1711,0.5837,
,300.59562,0.58774,5.0,0.1603,0.1607,0.0035,0.1671,0.1536,0.4969,0.1864,0.1869,0.0041,0.1943,0.1786,0.5777,
,300.58298,1.11702,5.0,0.1415,0.1418,0.0025,0.148,0.1379,0.4387,0.1645,0.1649,0.0029,0.172,0.1603,0.5101,
,300.23632,0.93178,5.0,0.168,0.1666,0.0027,0.1714,0.1605,0.5208,0.1954,0.1937,0.0032,0.1993,0.1866,0.6056,
,300.37107,-0.43747,5.0,0.1353,0.136,0.0031,0.1404,0.1296,0.4194,0.1573,0.1582,0.0036,0.1633,0.1507,0.4877,
,301.29486,0.84801,5.0,0.1335,0.1288,0.0085,0.1456,0.1167,0.4137,0.1552,0.1498,0.0099,0.1693,0.1357,0.481,
,301.7707,0.02981,5.0,0.1227,0.1207,0.0022,0.1237,0.1152,0.3805,0.1427,0.1404,0.0026,0.1438,0.134,0.4424,
,300.431,-0.10487,5.0,0.1681,0.1664,0.0033,0.1731,0.1598,0.5211,0.1955,0.1934,0.0039,0.2013,0.1858,0.606,
,300.04707,-0.69117,5.0,0.1281,0.1298,0.0017,0.1339,0.1279,0.3972,0.149,0.1509,0.0019,0.1557,0.1487,0.4619,
,301.13376,1.13439,5.0,0.1041,0.1041,0.0037,0.1116,0.0974,0.3226,0.121,0.121,0.0043,0.1298,0.1132,0.3751,
,301.27816,-0.74767,5.0,0.1407,0.1416,0.0059,0.1486,0.1287,0.4362,0.1636,0.1647,0.0068,0.1728,0.1496,0.5072,
,301.63755,-0.56442,5.0,0.1374,0.1378,0.0062,0.1481,0.1259,0.4259,0.1598,0.1602,0.0073,0.1722,0.1464,0.4953,
