Sys  bnd   c0      z1      z2      p1      p2     sigc0  sigz1  sigz2  sigp1  sigp2  sdp    sdz
SDSS    u  1.7321  0.3186  0.0945 -0.0494 -0.3194 0.0192 0.0167 0.0253 0.0039 0.0360 0.0354 0.0273
SDSS    g  0.6451  0.2290  0.0606  0.1669 -0.5946 0.0212 0.0183 0.0278 0.0031 0.0288 0.0283 0.0300
SDSS    r  0.4659  0.1837  0.0229 -0.6374 -0.3525 0.0149 0.0130 0.0196 0.0024 0.0224 0.0220 0.0212
SDSS    i  0.4417  0.1786  0.0123 -1.0649 -0.2020 0.0117 0.0102 0.0154 0.0019 0.0182 0.0179 0.0166
SDSS    z  0.4631  0.1809  0.0089 -1.3080 -0.2314 0.0101 0.0088 0.0133 0.0017 0.0159 0.0156 0.0143
UKIRT   J -0.3035  0.1743 -0.0033 -1.7485 -0.1293 0.0066 0.0057 0.0087 0.0013 0.0119 0.0117 0.0094
UKIRT   H -0.5616  0.1737 -0.0128 -2.2931 -0.1162 0.0038 0.0033 0.0050 0.0007 0.0061 0.0060 0.0054
UKIRT   K -0.5850  0.1715 -0.0144 -2.3399 -0.1458 0.0036 0.0031 0.0047 0.0006 0.0058 0.0057 0.0051
Landolt U  0.8729  0.3267  0.1071  0.1522 -0.4548 0.0210 0.0182 0.0276 0.0040 0.0371 0.0365 0.0298
Landolt B  0.8608  0.2570  0.0796  0.3984 -0.6461 0.0229 0.0199 0.0301 0.0033 0.0307 0.0302 0.0325
Landolt V  0.5168  0.1991  0.0364 -0.2833 -0.4757 0.0174 0.0151 0.0228 0.0027 0.0255 0.0251 0.0247
Landolt R  0.2812  0.1814  0.0195 -0.7361 -0.3233 0.0142 0.0123 0.0186 0.0023 0.0216 0.0212 0.0201
Landolt I  0.0106  0.1788  0.0096 -1.1873 -0.1654 0.0107 0.0093 0.0140 0.0018 0.0170 0.0168 0.0152
